AS,PS,NPV,RS,F1S,model
0.9953051643192488,0.9916666666666668,0.9958847736625516,0.9946236559139784,0.9930705636170284,SVM
0.9859154929577464,0.975803329461866,0.9879518072289156,0.9838709677419356,0.9793861395997212,KNN
1.0,1.0,1.0,1.0,1.0,DT
1.0,1.0,1.0,1.0,1.0,RF
0.9953051643192488,0.9947089947089948,0.9967948717948718,0.9914529914529916,0.993004329004329,ABC
1.0,1.0,1.0,1.0,1.0,GBC
1.0,1.0,1.0,1.0,1.0,MLP
0.9953051643192488,0.9947089947089948,0.9967948717948718,0.9914529914529916,0.993004329004329,ELM
1.0,1.0,1.0,1.0,1.0,AGTO-ELM
1.0,1.0,1.0,1.0,1.0,AVOA-ELM
1.0,1.0,1.0,1.0,1.0,ARO-ELM
1.0,1.0,1.0,1.0,1.0,HGSO-ELM
1.0,1.0,1.0,1.0,1.0,EVO-ELM
1.0,1.0,1.0,1.0,1.0,TLO-ELM
